customer_id,location,final_loyalty_score,state_avg_loyalty,state_avg_discount_dep
3582,Georgia,0.90475,0.4611736175482851,0.4050632911392405
993,Louisiana,0.88175,0.4557418678314699,0.4166666666666667
1703,Alabama,0.8670561224489796,0.47368542360764526,0.4044943820224719
3620,"North Carolina",0.85975,0.4626035568073383,0.44871794871794873
2289,California,0.85175,0.4515743002464143,0.42105263157894735
1781,"North Dakota",0.8379030612244897,0.4382436718589875,0.4578313253012048
2423,Georgia,0.8347653061224489,0.4611736175482851,0.4050632911392405
3323,Indiana,0.8345714285714285,0.45249415335754556,0.569620253164557
3502,Nebraska,0.8313214285714285,0.4478093858232948,0.42528735632183906
1043,Maryland,0.8289591836734693,0.45538446084316075,0.4418604651162791
2838,Alabama,0.8289183673469387,0.47368542360764526,0.4044943820224719
2290,Nevada,0.8214591836734693,0.4668146846974084,0.47126436781609193
1916,Alabama,0.8054183673469388,0.47368542360764526,0.4044943820224719
2443,Wyoming,0.8049852941176472,0.48152518894881896,0.4225352112676056
1019,Georgia,0.7991122448979591,0.4611736175482851,0.4050632911392405
