customer_id,favorite_category,customer_avg_rating,category_global_avg_rating,rating_deficit
2504,Footwear,2.5,3.7937710437710437,1.29
836,Footwear,2.5,3.7937710437710437,1.29
747,Footwear,2.5,3.7937710437710437,1.29
1213,Footwear,2.5,3.7937710437710437,1.29
3857,Footwear,2.5,3.7937710437710437,1.29
2725,Footwear,2.5,3.7937710437710437,1.29
964,Footwear,2.5,3.7937710437710437,1.29
3231,Footwear,2.5,3.7937710437710437,1.29
2366,Footwear,2.5,3.7937710437710437,1.29
821,Footwear,2.5,3.7937710437710437,1.29
979,Accessories,2.5,3.7699755899104965,1.27
2492,Accessories,2.5,3.7699755899104965,1.27
3796,Accessories,2.5,3.7699755899104965,1.27
1174,Accessories,2.5,3.7699755899104965,1.27
282,Accessories,2.5,3.7699755899104965,1.27
